Institution Name,Institution Type,Authorized by BCB,SPI Participation Type,Payment Initiation Service
EBURY BCO DE CÂMBIO S.A.,Banco de Câmbio,Sim,Direta,Não
BRAZA BANK S.A. BCO DE CÂMBIO,Banco de Câmbio,Sim,Direta,Etapa Homologatória
