Institution Name,Institution Type,Authorized by BCB,SPI Participation Type,Payment Initiation Service
BCO ARBI S.A.,Banco Comercial,Sim,Direta,Sim
BCO RENDIMENTO S.A.,Banco Comercial,Sim,Direta,Sim
BCO AGIBANK S.A.,Banco Comercial,Sim,Direta,Não
BCO B3 S.A.,Banco Comercial,Sim,Direta,Não
BCO CREFISA S.A.,Banco Comercial,Sim,Direta,Não
BCO DA AMAZONIA S.A.,Banco Comercial,Sim,Direta,Não
BCO KEB HANA DO BRASIL S.A.,Banco Comercial,Sim,Direta,Não
BCO WESTERN UNION,Banco Comercial,Sim,Direta,Não
